submit_date,test_id,PM2.5,PM10,O3
2018-02-28,tiantan_aq#13,29.0,66.0,65.0
2018-02-28,tiantan_aq#14,35.0,66.0,60.0
2018-02-28,tiantan_aq#15,40.0,75.0,53.0
2018-02-28,tiantan_aq#16,56.0,79.0,34.0
2018-02-28,tiantan_aq#17,63.0,93.0,25.0
2018-02-28,tiantan_aq#18,65.0,93.0,26.0
2018-02-28,tiantan_aq#19,60.0,78.0,33.0
2018-02-28,tiantan_aq#20,53.0,70.0,38.0
2018-02-28,tiantan_aq#21,54.0,66.0,36.0
2018-02-28,tiantan_aq#22,53.0,67.0,32.0
2018-02-28,tiantan_aq#23,49.0,56.0,23.0
2018-02-28,tiantan_aq#24,52.0,80.0,20.0
2018-02-28,tiantan_aq#25,56.0,76.0,26.0
2018-02-28,tiantan_aq#26,59.0,72.0,28.0
2018-02-28,tiantan_aq#27,62.0,80.0,29.0
2018-02-28,tiantan_aq#28,68.0,80.0,34.0
2018-02-28,tiantan_aq#29,67.0,79.0,44.0
2018-02-28,tiantan_aq#30,71.0,81.0,62.0
2018-02-28,tiantan_aq#31,72.0,91.0,77.0
2018-02-28,tiantan_aq#32,82.0,95.0,91.0
2018-02-28,tiantan_aq#33,82.0,106.0,99.0
2018-02-28,tiantan_aq#34,91.0,104.0,89.0
2018-02-28,tiantan_aq#35,87.0,101.0,69.0
2018-02-28,tiantan_aq#36,94.0,110.0,47.0
2018-02-28,tiantan_aq#37,95.0,108.0,43.0
2018-02-28,tiantan_aq#38,131.0,155.0,27.0
2018-02-28,tiantan_aq#39,149.0,171.0,35.0
2018-02-28,tiantan_aq#40,144.0,156.0,30.0
2018-02-28,tiantan_aq#41,138.0,144.0,28.0
2018-02-28,tiantan_aq#42,145.0,146.0,3.0
2018-02-28,tiantan_aq#43,168.0,,2.0
2018-02-28,tiantan_aq#44,169.0,186.0,2.0
2018-02-28,tiantan_aq#45,167.0,183.0,2.0
2018-02-28,tiantan_aq#46,166.0,181.0,2.0
2018-02-28,tiantan_aq#47,176.0,224.0,2.0
2018-02-28,guanyuan_aq#0,9.0,44.0,44.0
2018-02-28,guanyuan_aq#1,12.0,52.0,57.0
2018-02-28,guanyuan_aq#2,14.0,47.0,65.0
2018-02-28,guanyuan_aq#3,12.0,37.0,76.0
2018-02-28,guanyuan_aq#4,8.0,20.0,88.0
2018-02-28,guanyuan_aq#5,13.0,18.0,91.0
2018-02-28,guanyuan_aq#6,8.0,47.0,
2018-02-28,guanyuan_aq#7,7.0,48.0,86.0
2018-02-28,guanyuan_aq#8,25.0,41.0,89.0
2018-02-28,guanyuan_aq#9,22.0,73.0,87.0
2018-02-28,guanyuan_aq#10,30.0,85.0,83.0
2018-02-28,guanyuan_aq#11,30.0,91.0,79.0
2018-02-28,guanyuan_aq#12,31.0,90.0,74.0
2018-02-28,guanyuan_aq#13,34.0,76.0,73.0
2018-02-28,guanyuan_aq#14,32.0,73.0,63.0
2018-02-28,guanyuan_aq#15,42.0,79.0,53.0
2018-02-28,guanyuan_aq#16,52.0,87.0,37.0
2018-02-28,guanyuan_aq#17,64.0,104.0,31.0
2018-02-28,guanyuan_aq#18,77.0,113.0,26.0
2018-02-28,guanyuan_aq#19,76.0,111.0,25.0
2018-02-28,guanyuan_aq#20,68.0,96.0,29.0
2018-02-28,guanyuan_aq#21,58.0,89.0,30.0
2018-02-28,guanyuan_aq#22,57.0,83.0,30.0
2018-02-28,guanyuan_aq#23,50.0,78.0,25.0
2018-02-28,guanyuan_aq#24,54.0,80.0,20.0
2018-02-28,guanyuan_aq#25,63.0,101.0,14.0
2018-02-28,guanyuan_aq#26,58.0,94.0,22.0
2018-02-28,guanyuan_aq#27,61.0,104.0,37.0
2018-02-28,guanyuan_aq#28,68.0,85.0,50.0
2018-02-28,guanyuan_aq#29,72.0,84.0,55.0
2018-02-28,guanyuan_aq#30,85.0,88.0,57.0
2018-02-28,guanyuan_aq#31,70.0,93.0,68.0
2018-02-28,guanyuan_aq#32,74.0,102.0,81.0
2018-02-28,guanyuan_aq#33,79.0,106.0,92.0
2018-02-28,guanyuan_aq#34,91.0,118.0,90.0
2018-02-28,guanyuan_aq#35,84.0,125.0,80.0
2018-02-28,guanyuan_aq#36,95.0,128.0,57.0
2018-02-28,guanyuan_aq#37,93.0,133.0,30.0
2018-02-28,guanyuan_aq#38,116.0,152.0,50.0
2018-02-28,guanyuan_aq#39,136.0,187.0,38.0
2018-02-28,guanyuan_aq#40,137.0,162.0,35.0
2018-02-28,guanyuan_aq#41,171.0,204.0,5.0
2018-02-28,guanyuan_aq#42,187.0,238.0,5.0
2018-02-28,guanyuan_aq#43,178.0,233.0,5.0
2018-02-28,guanyuan_aq#44,172.0,221.0,2.0
2018-02-28,guanyuan_aq#45,140.0,187.0,2.0
2018-02-28,guanyuan_aq#46,134.0,168.0,2.0
2018-02-28,guanyuan_aq#47,123.0,163.0,2.0
2018-02-28,wanshouxig_aq#0,11.0,40.0,52.0
2018-02-28,wanshouxig_aq#1,13.0,37.0,54.0
2018-02-28,wanshouxig_aq#2,10.0,39.0,67.0
2018-02-28,wanshouxig_aq#3,16.0,30.0,74.0
2018-02-28,wanshouxig_aq#4,3.0,9.0,88.0
2018-02-28,wanshouxig_aq#5,3.0,16.0,89.0
2018-02-28,wanshouxig_aq#6,9.0,36.0,81.0
2018-02-28,wanshouxig_aq#7,20.0,38.0,
2018-02-28,wanshouxig_aq#8,20.0,54.0,
2018-02-28,wanshouxig_aq#9,29.0,92.0,84.0
2018-02-28,wanshouxig_aq#10,28.0,85.0,79.0
2018-02-28,wanshouxig_aq#11,30.0,80.0,71.0
2018-02-28,wanshouxig_aq#12,29.0,81.0,65.0
2018-02-28,wanshouxig_aq#13,32.0,68.0,53.0
2018-02-28,wanshouxig_aq#14,33.0,70.0,46.0
2018-02-28,wanshouxig_aq#15,41.0,75.0,35.0
2018-02-28,wanshouxig_aq#16,50.0,78.0,27.0
2018-02-28,wanshouxig_aq#17,61.0,103.0,21.0
2018-02-28,wanshouxig_aq#18,71.0,106.0,19.0
2018-02-28,wanshouxig_aq#19,70.0,93.0,25.0
2018-02-28,wanshouxig_aq#20,57.0,77.0,27.0
2018-02-28,wanshouxig_aq#21,55.0,74.0,26.0
2018-02-28,wanshouxig_aq#22,52.0,69.0,21.0
2018-02-28,wanshouxig_aq#23,52.0,72.0,17.0
2018-02-28,wanshouxig_aq#24,53.0,74.0,14.0
2018-02-28,wanshouxig_aq#25,51.0,71.0,24.0
2018-02-28,wanshouxig_aq#26,58.0,78.0,24.0
2018-02-28,wanshouxig_aq#27,65.0,92.0,24.0
2018-02-28,wanshouxig_aq#28,67.0,87.0,34.0
2018-02-28,wanshouxig_aq#29,67.0,86.0,39.0
2018-02-28,wanshouxig_aq#30,70.0,87.0,52.0
2018-02-28,wanshouxig_aq#31,75.0,92.0,70.0
2018-02-28,wanshouxig_aq#32,78.0,102.0,82.0
2018-02-28,wanshouxig_aq#33,83.0,114.0,87.0
2018-02-28,wanshouxig_aq#34,90.0,122.0,80.0
2018-02-28,wanshouxig_aq#35,96.0,130.0,69.0
2018-02-28,wanshouxig_aq#36,97.0,121.0,49.0
2018-02-28,wanshouxig_aq#37,97.0,122.0,34.0
2018-02-28,wanshouxig_aq#38,119.0,154.0,18.0
2018-02-28,wanshouxig_aq#39,141.0,191.0,13.0
2018-02-28,wanshouxig_aq#40,135.0,168.0,37.0
2018-02-28,wanshouxig_aq#41,131.0,159.0,34.0
2018-02-28,wanshouxig_aq#42,159.0,,2.0
2018-02-28,wanshouxig_aq#43,171.0,211.0,2.0
2018-02-28,wanshouxig_aq#44,170.0,209.0,2.0
2018-02-28,wanshouxig_aq#45,162.0,189.0,2.0
2018-02-28,wanshouxig_aq#46,159.0,188.0,2.0
2018-02-28,wanshouxig_aq#47,156.0,182.0,2.0
2018-02-28,aotizhongx_aq#0,9.0,47.0,58.0
2018-02-28,aotizhongx_aq#1,14.0,47.0,61.0
2018-02-28,aotizhongx_aq#2,11.0,38.0,61.0
2018-02-28,aotizhongx_aq#3,4.0,33.0,
2018-02-28,aotizhongx_aq#4,,18.0,82.0
2018-02-28,aotizhongx_aq#5,6.0,10.0,85.0
2018-02-28,aotizhongx_aq#6,6.0,16.0,87.0
2018-02-28,aotizhongx_aq#7,11.0,40.0,86.0
2018-02-28,aotizhongx_aq#8,20.0,56.0,86.0
2018-02-28,aotizhongx_aq#9,25.0,71.0,84.0
2018-02-28,aotizhongx_aq#10,33.0,80.0,78.0
2018-02-28,aotizhongx_aq#11,32.0,85.0,73.0
2018-02-28,aotizhongx_aq#12,34.0,89.0,70.0
2018-02-28,aotizhongx_aq#13,30.0,78.0,60.0
2018-02-28,aotizhongx_aq#14,35.0,69.0,52.0
2018-02-28,aotizhongx_aq#15,41.0,74.0,44.0
2018-02-28,aotizhongx_aq#16,54.0,82.0,34.0
2018-02-28,aotizhongx_aq#17,69.0,103.0,23.0
2018-02-28,aotizhongx_aq#18,71.0,102.0,19.0
2018-02-28,aotizhongx_aq#19,65.0,91.0,21.0
2018-02-28,aotizhongx_aq#20,60.0,75.0,25.0
2018-02-28,aotizhongx_aq#21,62.0,75.0,27.0
2018-02-28,aotizhongx_aq#22,59.0,72.0,24.0
2018-02-28,aotizhongx_aq#23,53.0,68.0,18.0
2018-02-28,aotizhongx_aq#24,55.0,79.0,3.0
2018-02-28,aotizhongx_aq#25,50.0,97.0,2.0
2018-02-28,aotizhongx_aq#26,58.0,73.0,16.0
2018-02-28,aotizhongx_aq#27,62.0,74.0,33.0
2018-02-28,aotizhongx_aq#28,78.0,,42.0
2018-02-28,aotizhongx_aq#29,83.0,,50.0
2018-02-28,aotizhongx_aq#30,89.0,89.0,48.0
2018-02-28,aotizhongx_aq#31,82.0,92.0,53.0
2018-02-28,aotizhongx_aq#32,77.0,94.0,66.0
2018-02-28,aotizhongx_aq#33,83.0,96.0,79.0
2018-02-28,aotizhongx_aq#34,95.0,105.0,85.0
2018-02-28,aotizhongx_aq#35,93.0,116.0,70.0
2018-02-28,aotizhongx_aq#36,103.0,124.0,60.0
2018-02-28,aotizhongx_aq#37,111.0,131.0,18.0
2018-02-28,aotizhongx_aq#38,134.0,162.0,2.0
2018-02-28,aotizhongx_aq#39,139.0,179.0,2.0
2018-02-28,aotizhongx_aq#40,159.0,181.0,2.0
2018-02-28,aotizhongx_aq#41,184.0,209.0,2.0
2018-02-28,aotizhongx_aq#42,187.0,218.0,2.0
2018-02-28,aotizhongx_aq#43,183.0,202.0,2.0
2018-02-28,aotizhongx_aq#44,160.0,187.0,2.0
2018-02-28,aotizhongx_aq#45,149.0,165.0,2.0
2018-02-28,aotizhongx_aq#46,133.0,150.0,2.0
2018-02-28,aotizhongx_aq#47,133.0,151.0,2.0
2018-02-28,nongzhangu_aq#0,8.0,41.0,59.0
2018-02-28,nongzhangu_aq#1,13.0,29.0,63.0
2018-02-28,nongzhangu_aq#2,14.0,32.0,68.0
2018-02-28,nongzhangu_aq#3,4.0,13.0,75.0
2018-02-28,nongzhangu_aq#4,7.0,9.0,83.0
2018-02-28,nongzhangu_aq#5,7.0,,87.0
2018-02-28,nongzhangu_aq#6,12.0,14.0,82.0
2018-02-28,nongzhangu_aq#7,13.0,74.0,69.0
2018-02-28,nongzhangu_aq#8,,54.0,
2018-02-28,nongzhangu_aq#9,,76.0,82.0
2018-02-28,nongzhangu_aq#10,28.0,106.0,78.0
2018-02-28,nongzhangu_aq#11,32.0,108.0,69.0
2018-02-28,nongzhangu_aq#12,31.0,100.0,66.0
2018-02-28,nongzhangu_aq#13,34.0,81.0,63.0
2018-02-28,nongzhangu_aq#14,36.0,81.0,61.0
2018-02-28,nongzhangu_aq#15,40.0,83.0,52.0
2018-02-28,nongzhangu_aq#16,56.0,103.0,40.0
2018-02-28,nongzhangu_aq#17,67.0,122.0,33.0
2018-02-28,nongzhangu_aq#18,66.0,98.0,31.0
2018-02-28,nongzhangu_aq#19,57.0,82.0,39.0
2018-02-28,nongzhangu_aq#20,53.0,79.0,41.0
2018-02-28,nongzhangu_aq#21,54.0,73.0,37.0
2018-02-28,nongzhangu_aq#22,54.0,73.0,34.0
2018-02-28,nongzhangu_aq#23,50.0,76.0,22.0
2018-02-28,nongzhangu_aq#24,55.0,78.0,14.0
2018-02-28,nongzhangu_aq#25,53.0,68.0,14.0
2018-02-28,nongzhangu_aq#26,56.0,58.0,26.0
2018-02-28,nongzhangu_aq#27,59.0,70.0,34.0
2018-02-28,nongzhangu_aq#28,65.0,83.0,43.0
2018-02-28,nongzhangu_aq#29,73.0,89.0,47.0
2018-02-28,nongzhangu_aq#30,74.0,108.0,55.0
2018-02-28,nongzhangu_aq#31,77.0,115.0,70.0
2018-02-28,nongzhangu_aq#32,84.0,113.0,69.0
2018-02-28,nongzhangu_aq#33,89.0,127.0,88.0
2018-02-28,nongzhangu_aq#34,92.0,148.0,82.0
2018-02-28,nongzhangu_aq#35,98.0,148.0,69.0
2018-02-28,nongzhangu_aq#36,104.0,152.0,48.0
2018-02-28,nongzhangu_aq#37,108.0,150.0,4.0
2018-02-28,nongzhangu_aq#38,140.0,231.0,11.0
2018-02-28,nongzhangu_aq#39,156.0,242.0,25.0
2018-02-28,nongzhangu_aq#40,146.0,194.0,30.0
2018-02-28,nongzhangu_aq#41,153.0,195.0,12.0
2018-02-28,nongzhangu_aq#42,168.0,211.0,2.0
2018-02-28,nongzhangu_aq#43,178.0,237.0,2.0
2018-02-28,nongzhangu_aq#44,178.0,232.0,2.0
2018-02-28,nongzhangu_aq#45,181.0,226.0,2.0
2018-02-28,nongzhangu_aq#46,181.0,224.0,2.0
2018-02-28,nongzhangu_aq#47,180.0,221.0,2.0
2018-02-28,wanliu_aq#0,8.0,43.0,45.0
2018-02-28,wanliu_aq#1,9.0,35.0,68.0
2018-02-28,wanliu_aq#2,11.0,40.0,79.0
2018-02-28,wanliu_aq#3,3.0,26.0,94.0
2018-02-28,wanliu_aq#4,5.0,15.0,100.0
2018-02-28,wanliu_aq#5,3.0,17.0,102.0
2018-02-28,wanliu_aq#6,14.0,30.0,99.0
2018-02-28,wanliu_aq#7,9.0,39.0,94.0
2018-02-28,wanliu_aq#8,21.0,58.0,95.0
2018-02-28,wanliu_aq#9,29.0,71.0,91.0
2018-02-28,wanliu_aq#10,28.0,84.0,85.0
2018-02-28,wanliu_aq#11,28.0,86.0,75.0
2018-02-28,wanliu_aq#12,31.0,86.0,75.0
2018-02-28,wanliu_aq#13,37.0,80.0,69.0
2018-02-28,wanliu_aq#14,39.0,78.0,57.0
2018-02-28,wanliu_aq#15,47.0,88.0,46.0
2018-02-28,wanliu_aq#16,64.0,100.0,46.0
2018-02-28,wanliu_aq#17,61.0,96.0,34.0
2018-02-28,wanliu_aq#18,74.0,108.0,29.0
2018-02-28,wanliu_aq#19,72.0,107.0,23.0
2018-02-28,wanliu_aq#20,85.0,102.0,23.0
2018-02-28,wanliu_aq#21,83.0,101.0,23.0
2018-02-28,wanliu_aq#22,72.0,87.0,24.0
2018-02-28,wanliu_aq#23,74.0,99.0,9.0
2018-02-28,wanliu_aq#24,57.0,92.0,9.0
2018-02-28,wanliu_aq#25,51.0,71.0,17.0
2018-02-28,wanliu_aq#26,54.0,72.0,25.0
2018-02-28,wanliu_aq#27,59.0,71.0,41.0
2018-02-28,wanliu_aq#28,70.0,80.0,53.0
2018-02-28,wanliu_aq#29,71.0,85.0,57.0
2018-02-28,wanliu_aq#30,80.0,94.0,58.0
2018-02-28,wanliu_aq#31,77.0,100.0,56.0
2018-02-28,wanliu_aq#32,76.0,92.0,67.0
2018-02-28,wanliu_aq#33,78.0,94.0,78.0
2018-02-28,wanliu_aq#34,83.0,110.0,83.0
2018-02-28,wanliu_aq#35,86.0,119.0,70.0
2018-02-28,wanliu_aq#36,95.0,123.0,44.0
2018-02-28,wanliu_aq#37,90.0,114.0,35.0
2018-02-28,wanliu_aq#38,97.0,134.0,3.0
2018-02-28,wanliu_aq#39,121.0,149.0,3.0
2018-02-28,wanliu_aq#40,149.0,171.0,4.0
2018-02-28,wanliu_aq#41,159.0,187.0,12.0
2018-02-28,wanliu_aq#42,144.0,171.0,8.0
2018-02-28,wanliu_aq#43,137.0,161.0,7.0
2018-02-28,wanliu_aq#44,116.0,144.0,11.0
2018-02-28,wanliu_aq#45,119.0,137.0,6.0
2018-02-28,wanliu_aq#46,122.0,139.0,3.0
2018-02-28,wanliu_aq#47,120.0,145.0,3.0
2018-02-28,beibuxinqu_aq#0,16.0,51.0,47.0
2018-02-28,beibuxinqu_aq#1,4.0,51.0,60.0
2018-02-28,beibuxinqu_aq#2,8.0,34.0,75.0
2018-02-28,beibuxinqu_aq#3,3.0,25.0,82.0
2018-02-28,beibuxinqu_aq#4,16.0,23.0,84.0
2018-02-28,beibuxinqu_aq#5,14.0,22.0,86.0
2018-02-28,beibuxinqu_aq#6,15.0,30.0,87.0
2018-02-28,beibuxinqu_aq#7,11.0,50.0,89.0
2018-02-28,beibuxinqu_aq#8,18.0,69.0,88.0
2018-02-28,beibuxinqu_aq#9,14.0,93.0,85.0
2018-02-28,beibuxinqu_aq#10,34.0,107.0,85.0
2018-02-28,beibuxinqu_aq#11,31.0,113.0,82.0
2018-02-28,beibuxinqu_aq#12,35.0,107.0,77.0
2018-02-28,beibuxinqu_aq#13,43.0,99.0,70.0
2018-02-28,beibuxinqu_aq#14,47.0,92.0,66.0
2018-02-28,beibuxinqu_aq#15,47.0,90.0,60.0
2018-02-28,beibuxinqu_aq#16,56.0,103.0,42.0
2018-02-28,beibuxinqu_aq#17,73.0,125.0,29.0
2018-02-28,beibuxinqu_aq#18,85.0,143.0,21.0
2018-02-28,beibuxinqu_aq#19,69.0,124.0,2.0
2018-02-28,beibuxinqu_aq#20,64.0,100.0,2.0
2018-02-28,beibuxinqu_aq#21,60.0,107.0,2.0
2018-02-28,beibuxinqu_aq#22,52.0,74.0,2.0
2018-02-28,beibuxinqu_aq#23,46.0,73.0,2.0
2018-02-28,beibuxinqu_aq#24,50.0,80.0,9.0
2018-02-28,beibuxinqu_aq#25,54.0,90.0,23.0
2018-02-28,beibuxinqu_aq#26,58.0,80.0,36.0
2018-02-28,beibuxinqu_aq#27,,29.0,
2018-02-28,beibuxinqu_aq#28,54.0,,57.0
2018-02-28,beibuxinqu_aq#29,78.0,82.0,61.0
2018-02-28,beibuxinqu_aq#30,80.0,94.0,62.0
2018-02-28,beibuxinqu_aq#31,83.0,109.0,64.0
2018-02-28,beibuxinqu_aq#32,87.0,107.0,54.0
2018-02-28,beibuxinqu_aq#33,89.0,122.0,47.0
2018-02-28,beibuxinqu_aq#34,84.0,119.0,63.0
2018-02-28,beibuxinqu_aq#35,82.0,116.0,60.0
2018-02-28,beibuxinqu_aq#36,86.0,122.0,37.0
2018-02-28,beibuxinqu_aq#37,109.0,131.0,14.0
2018-02-28,beibuxinqu_aq#38,201.0,243.0,2.0
2018-02-28,beibuxinqu_aq#39,174.0,236.0,2.0
2018-02-28,beibuxinqu_aq#40,170.0,209.0,2.0
2018-02-28,beibuxinqu_aq#41,145.0,196.0,2.0
2018-02-28,beibuxinqu_aq#42,142.0,184.0,2.0
2018-02-28,beibuxinqu_aq#43,152.0,183.0,2.0
2018-02-28,beibuxinqu_aq#44,144.0,174.0,2.0
2018-02-28,beibuxinqu_aq#45,134.0,163.0,2.0
2018-02-28,beibuxinqu_aq#46,125.0,158.0,2.0
2018-02-28,beibuxinqu_aq#47,126.0,153.0,2.0
2018-02-28,zhiwuyuan_aq#0,,,
2018-02-28,zhiwuyuan_aq#1,,,
2018-02-28,zhiwuyuan_aq#2,,,
2018-02-28,zhiwuyuan_aq#3,,,
2018-02-28,zhiwuyuan_aq#4,,,
2018-02-28,zhiwuyuan_aq#5,,,
2018-02-28,zhiwuyuan_aq#6,,,
2018-02-28,zhiwuyuan_aq#7,,,
2018-02-28,zhiwuyuan_aq#8,,,
2018-02-28,zhiwuyuan_aq#9,,,
2018-02-28,zhiwuyuan_aq#10,,,
2018-02-28,zhiwuyuan_aq#11,,,
2018-02-28,zhiwuyuan_aq#12,,,
2018-02-28,zhiwuyuan_aq#13,,,
2018-02-28,zhiwuyuan_aq#14,,,
2018-02-28,zhiwuyuan_aq#15,,,
2018-02-28,zhiwuyuan_aq#16,,,
2018-02-28,zhiwuyuan_aq#17,,,
2018-02-28,zhiwuyuan_aq#18,,,
2018-02-28,zhiwuyuan_aq#19,,,
2018-02-28,zhiwuyuan_aq#20,,,
2018-02-28,zhiwuyuan_aq#21,,,
2018-02-28,zhiwuyuan_aq#22,,,
2018-02-28,zhiwuyuan_aq#23,,,
2018-02-28,zhiwuyuan_aq#24,,,
2018-02-28,zhiwuyuan_aq#25,,,
2018-02-28,zhiwuyuan_aq#26,,,
2018-02-28,zhiwuyuan_aq#27,,,
2018-02-28,zhiwuyuan_aq#28,,,
2018-02-28,zhiwuyuan_aq#29,,,
2018-02-28,zhiwuyuan_aq#30,,,
2018-02-28,zhiwuyuan_aq#31,,,
2018-02-28,zhiwuyuan_aq#32,,,
2018-02-28,zhiwuyuan_aq#33,,,
2018-02-28,zhiwuyuan_aq#34,,,
2018-02-28,zhiwuyuan_aq#35,,,
2018-02-28,zhiwuyuan_aq#36,,,
2018-02-28,zhiwuyuan_aq#37,,,
2018-02-28,zhiwuyuan_aq#38,,,
2018-02-28,zhiwuyuan_aq#39,,,
2018-02-28,zhiwuyuan_aq#40,,,
2018-02-28,zhiwuyuan_aq#41,,,
2018-02-28,zhiwuyuan_aq#42,,,
2018-02-28,zhiwuyuan_aq#43,,,
2018-02-28,zhiwuyuan_aq#44,,,
2018-02-28,zhiwuyuan_aq#45,,,
2018-02-28,zhiwuyuan_aq#46,,,
2018-02-28,zhiwuyuan_aq#47,,,
2018-02-28,fengtaihua_aq#0,7.0,59.0,49.0
2018-02-28,fengtaihua_aq#1,12.0,44.0,57.0
2018-02-28,fengtaihua_aq#2,44.0,,68.0
2018-02-28,fengtaihua_aq#3,7.0,36.0,74.0
2018-02-28,fengtaihua_aq#4,,17.0,73.0
2018-02-28,fengtaihua_aq#5,,6.0,78.0
2018-02-28,fengtaihua_aq#6,7.0,80.0,80.0
2018-02-28,fengtaihua_aq#7,23.0,77.0,81.0
2018-02-28,fengtaihua_aq#8,23.0,90.0,80.0
2018-02-28,fengtaihua_aq#9,33.0,105.0,77.0
2018-02-28,fengtaihua_aq#10,30.0,105.0,72.0
2018-02-28,fengtaihua_aq#11,32.0,110.0,64.0
2018-02-28,fengtaihua_aq#12,32.0,108.0,60.0
2018-02-28,fengtaihua_aq#13,41.0,103.0,44.0
2018-02-28,fengtaihua_aq#14,49.0,108.0,25.0
2018-02-28,fengtaihua_aq#15,59.0,105.0,30.0
2018-02-28,fengtaihua_aq#16,70.0,122.0,36.0
2018-02-28,fengtaihua_aq#17,75.0,123.0,28.0
2018-02-28,fengtaihua_aq#18,81.0,135.0,24.0
2018-02-28,fengtaihua_aq#19,82.0,127.0,22.0
2018-02-28,fengtaihua_aq#20,78.0,117.0,26.0
2018-02-28,fengtaihua_aq#21,71.0,104.0,26.0
2018-02-28,fengtaihua_aq#22,67.0,93.0,15.0
2018-02-28,fengtaihua_aq#23,57.0,84.0,16.0
2018-02-28,fengtaihua_aq#24,54.0,87.0,16.0
2018-02-28,fengtaihua_aq#25,52.0,91.0,17.0
2018-02-28,fengtaihua_aq#26,67.0,104.0,20.0
2018-02-28,fengtaihua_aq#27,70.0,106.0,28.0
2018-02-28,fengtaihua_aq#28,77.0,108.0,34.0
2018-02-28,fengtaihua_aq#29,80.0,101.0,41.0
2018-02-28,fengtaihua_aq#30,77.0,98.0,56.0
2018-02-28,fengtaihua_aq#31,83.0,99.0,65.0
2018-02-28,fengtaihua_aq#32,85.0,105.0,75.0
2018-02-28,fengtaihua_aq#33,93.0,115.0,89.0
2018-02-28,fengtaihua_aq#34,92.0,126.0,86.0
2018-02-28,fengtaihua_aq#35,94.0,133.0,76.0
2018-02-28,fengtaihua_aq#36,97.0,138.0,48.0
2018-02-28,fengtaihua_aq#37,101.0,149.0,7.0
2018-02-28,fengtaihua_aq#38,111.0,149.0,14.0
2018-02-28,fengtaihua_aq#39,125.0,176.0,10.0
